head,head_type,rel,tail,tail_type,position,time_text,source
中共中央印发《关于建立国务院向全国人大常委会报告国有资产管理情况制度的意见》,Event,FOUNDED,中华人民共和国国务院,Organization,,2017年12月30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
世界上最长的跨海大桥——港珠澳大桥开通仪式在广东珠海举行,Event,OCCURRED_IN,广东,Location,,2018年10月23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
首届中国国际进口博览会在上海举行,Event,OCCURRED_IN,上海,Location,,2018年11月5日-10日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
习近平,Person,AUTHORED,为实现民族伟大复兴、推进祖国和平统一而共同奋斗,Document,,2019年1月2日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
庆祝人民海军成立70周年海上阅兵活动在青岛举行,Event,OCCURRED_IN,青岛,Location,,2019年4月23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
首届亚洲文明对话大会在北京召开,Event,OCCURRED_IN,北京,Location,,2019年5月15日-22日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东出席在猴场召开的中共中央政治局会议,Event,OCCURRED_IN,猴场,Location,,1935年1月1日,https://www.dswxyjy.org.cn/GB/434461/434462/434818/index.html
中共中央政治局在猴场召开会议，重申黎平会议的决定，命令红军迅速抢渡乌江，攻占遵义,Event,OCCURRED_IN,猴场,Location,,1935年1月1日,https://www.dswxyjy.org.cn/GB/434461/434462/434818/index.html
毛泽东,Person,AUTHORED,关于在全国开展以除四害为中心的爱国卫生运动的通知,Document,,1958年1月3日,https://www.dswxyjy.org.cn/GB/434461/434462/434820/index.html
中共中央在北京召开农村工作会议,Event,OCCURRED_IN,北京,Location,,1962年1月3日,https://www.dswxyjy.org.cn/GB/434461/434462/434820/index.html
国务院在北京召开全国经济体制改革工作会议，讨论以企业改革为重点的1990年改革工作的任务,Event,OCCURRED_IN,北京,Location,,1990年1月4日至8日,https://www.dswxyjy.org.cn/GB/434461/434462/434821/index.html
中央军委军事工作会议在北京召开,Event,OCCURRED_IN,北京,Location,,2019年1月4日,https://www.dswxyjy.org.cn/GB/434461/434462/434821/index.html
毛泽东,Person,AUTHORED,关于反对官僚主义、反对命令主义、反对违法乱纪的指示,Document,,1953年1月5日,https://www.dswxyjy.org.cn/GB/434461/434462/434822/index.html
中央保持共产党员先进性教育活动工作会议在北京举行,Event,OCCURRED_IN,北京,Location,,2005年1月5日至6日,https://www.dswxyjy.org.cn/GB/434461/434462/434822/index.html
周恩来,Person,AUTHORED,蒋介石元旦演说与政治协商会议,Document,,1946年1月7日,https://www.dswxyjy.org.cn/GB/434461/434462/434824/index.html
毛泽东,Person,AUTHORED,国民党右派分离的原因及其对于革命前途的影响,Document,,1926年1月10日,https://www.dswxyjy.org.cn/GB/434461/434462/434827/index.html
有国民党、共产党、民主同盟、青年党、社会贤达的代表参加的政治协商会议在重庆召开,Event,OCCURRED_IN,重庆,Location,,1946年1月10日至31日,https://www.dswxyjy.org.cn/GB/434461/434462/434827/index.html
中共四大在上海召开,Event,OCCURRED_IN,上海,Location,,1925年1月11日至22日,https://www.dswxyjy.org.cn/GB/434461/434462/434828/index.html
